device,on-device,networking,processing,inference
ipad,6.65,8.4,0.9,8.1
ipad,6.65,8.38,0.9,8.1
iphone,4.91,8.54,0.6,7.93
iphone,4.89,8.54,0.6,7.89
macbook,3.57,8.41,0.7,8.03
macbook,3.54,8.41,0.7,7.99
ipad,6.65,8.4,0.9,8.1
ipad,6.65,8.38,0.9,8.1
iphone,4.91,8.54,0.6,7.93
iphone,4.89,8.54,0.6,7.89
macbook,3.57,8.41,0.7,8.03
macbook,3.54,8.41,0.7,7.99
ipad,6.65,8.4,0.9,8.1
ipad,6.65,8.38,0.9,8.1
iphone,4.91,8.54,0.6,7.93
iphone,4.89,8.54,0.6,7.89
macbook,3.57,8.41,0.7,8.03
macbook,3.54,8.41,0.7,7.99
ipad,6.65,8.4,0.9,8.1
ipad,6.65,8.38,0.9,8.1
iphone,4.91,8.54,0.6,7.93
iphone,4.89,8.54,0.6,7.89
macbook,3.57,8.41,0.7,8.03
macbook,3.54,8.41,0.7,7.99
ipad,6.65,8.4,0.9,8.1
ipad,6.65,8.38,0.9,8.1
iphone,4.91,8.54,0.6,7.93
iphone,4.89,8.54,0.6,7.89
macbook,3.57,8.41,0.7,8.03
macbook,3.54,8.41,0.7,7.99
ipad,6.65,8.4,0.9,8.1
ipad,6.65,8.38,0.9,8.1
iphone,4.91,8.54,0.6,7.93
iphone,4.89,8.54,0.6,7.89
macbook,3.57,8.41,0.7,8.03
macbook,3.54,8.41,0.7,7.99
ipad,6.65,8.4,0.9,8.1
ipad,6.65,8.38,0.9,8.1
iphone,4.91,8.54,0.6,7.93
iphone,4.89,8.54,0.6,7.89
macbook,3.57,8.41,0.7,8.03
macbook,3.54,8.41,0.7,7.99
ipad,6.65,8.4,0.9,8.1
ipad,6.65,8.38,0.9,8.1
iphone,4.91,8.54,0.6,7.93
iphone,4.89,8.54,0.6,7.89
macbook,3.57,8.41,0.7,8.03
macbook,3.54,8.41,0.7,7.99
ipad,6.65,8.4,0.9,8.1
ipad,6.65,8.38,0.9,8.1
iphone,4.91,8.54,0.6,7.93
iphone,4.89,8.54,0.6,7.89
macbook,3.57,8.41,0.7,8.03
macbook,3.54,8.41,0.7,7.99
ipad,6.65,8.4,0.9,8.1
ipad,6.65,8.38,0.9,8.1
iphone,4.91,8.54,0.6,7.93
iphone,4.89,8.54,0.6,7.89
macbook,3.57,8.41,0.7,8.03
macbook,3.54,8.41,0.7,7.99
