data_index,message_index,message,time_ms
0,0,encoding,0.0917
0,1,network,267.7252
1,0,encoding,1.7553
1,1,network,264.9358
2,0,encoding,1.7967
2,1,network,264.5898
3,0,encoding,1.7973
3,1,network,264.6813
4,0,encoding,1.7997
4,1,network,264.7657
5,0,encoding,1.7476
5,1,network,264.8219
6,0,encoding,1.7368
6,1,network,264.9211
7,0,encoding,1.7729
7,1,network,264.5478
8,0,encoding,1.772
8,1,network,264.8284
9,0,encoding,1.7533
9,1,network,264.7277
10,0,encoding,1.831
10,1,network,264.7416
11,0,encoding,1.7573
11,1,network,264.6645
12,0,encoding,1.9787
12,1,network,264.6663
13,0,encoding,1.8018
13,1,network,264.5654
14,0,encoding,1.7836
14,1,network,264.7461
15,0,encoding,1.7749
15,1,network,264.9218
16,0,encoding,1.7598
16,1,network,264.559
17,0,encoding,1.8179
17,1,network,264.9168
18,0,encoding,1.7789
18,1,network,264.5764
19,0,encoding,1.7517
19,1,network,264.8283
20,0,encoding,1.8106
20,1,network,264.7079
21,0,encoding,1.7764
21,1,network,264.717
22,0,encoding,1.7465
22,1,network,264.7686
23,0,encoding,1.8364
23,1,network,264.6779
24,0,encoding,1.7879
24,1,network,264.7561
25,0,encoding,1.7417
25,1,network,264.7137
26,0,encoding,1.8277
26,1,network,264.7335
27,0,encoding,1.8878
27,1,network,264.6154
28,0,encoding,1.816
28,1,network,264.6621
29,0,encoding,1.7695
29,1,network,264.8483
30,0,encoding,1.7679
30,1,network,264.7214
31,0,encoding,1.8049
31,1,network,264.73
32,0,encoding,1.786
32,1,network,264.7448
33,0,encoding,1.7631
33,1,network,264.887
34,0,encoding,1.7782
34,1,network,264.673
35,0,encoding,1.7781
35,1,network,264.7212
36,0,encoding,1.7585
36,1,network,264.7512
37,0,encoding,1.7561
37,1,network,264.8715
38,0,encoding,1.8329
38,1,network,264.63
39,0,encoding,1.7631
39,1,network,264.3868
40,0,encoding,1.1539
40,1,network,265.7881
41,0,encoding,1.7742
41,1,network,264.8833
42,0,encoding,1.9571
42,1,network,264.3879
43,0,encoding,1.7693
43,1,network,264.7823
44,0,encoding,1.7402
44,1,network,264.665
45,0,encoding,1.7372
45,1,network,264.8505
46,0,encoding,1.8093
46,1,network,264.7291
47,0,encoding,1.7885
47,1,network,264.8234
48,0,encoding,1.7584
48,1,network,264.7706
49,0,encoding,1.7949
49,1,network,264.6833
50,0,encoding,1.7617
50,1,network,264.7762
51,0,encoding,1.767
51,1,network,264.7212
52,0,encoding,1.7875
52,1,network,264.4003
53,0,encoding,1.1938
53,1,network,265.7827
54,0,encoding,1.8071
54,1,network,264.7471
55,0,encoding,1.7261
55,1,network,264.7594
56,0,encoding,1.7595
56,1,network,264.6855
57,0,encoding,2.0081
57,1,network,264.5385
58,0,encoding,1.7339
58,1,network,264.9224
59,0,encoding,1.7179
59,1,network,264.7269
60,0,encoding,1.7687
60,1,network,264.6696
61,0,encoding,1.7432
61,1,network,264.8918
62,0,encoding,1.7482
62,1,network,264.7643
63,0,encoding,1.7964
63,1,network,264.7669
64,0,encoding,1.8311
64,1,network,264.6326
65,0,encoding,1.8114
65,1,network,264.7074
66,0,encoding,1.7856
66,1,network,264.7578
67,0,encoding,1.7957
67,1,network,264.6837
68,0,encoding,1.7249
68,1,network,264.845
69,0,encoding,1.7855
69,1,network,264.7839
70,0,encoding,1.8413
70,1,network,264.2612
71,0,encoding,1.1821
71,1,network,265.7899
72,0,encoding,2.8073
72,1,network,263.545
73,0,encoding,1.7618
73,1,network,264.7721
74,0,encoding,1.7707
74,1,network,264.771
75,0,encoding,1.8076
75,1,network,264.6545
76,0,encoding,1.7588
76,1,network,264.8277
77,0,encoding,1.769
77,1,network,264.7388
78,0,encoding,1.7658
78,1,network,264.6813
79,0,encoding,1.8166
79,1,network,264.743
80,0,encoding,1.7476
80,1,network,264.8795
81,0,encoding,1.7585
81,1,network,264.7772
82,0,encoding,1.7635
82,1,network,264.6951
83,0,encoding,1.8158
83,1,network,264.7027
84,0,encoding,1.7469
84,1,network,264.7813
85,0,encoding,1.7673
85,1,network,264.8259
86,0,encoding,1.8182
86,1,network,264.6552
87,0,encoding,1.9738
87,1,network,264.5006
88,0,encoding,1.7768
88,1,network,264.7705
89,0,encoding,1.7753
89,1,network,264.8429
90,0,encoding,1.722
90,1,network,264.6808
91,0,encoding,1.7333
91,1,network,264.8309
92,0,encoding,1.7949
92,1,network,264.7912
93,0,encoding,1.7399
93,1,network,264.8312
94,0,encoding,1.752
94,1,network,264.6761
95,0,encoding,1.7825
95,1,network,264.7894
96,0,encoding,1.8134
96,1,network,264.5916
97,0,encoding,1.7898
97,1,network,264.8399
98,0,encoding,1.769
98,1,network,264.7343
99,0,encoding,1.7883
99,1,network,264.7296
100,0,encoding,1.7769
100,1,network,264.8249
101,0,encoding,1.6885
101,1,network,264.7274
102,0,encoding,1.9935
102,1,network,264.5586
103,0,encoding,1.7439
103,1,network,264.8107
104,0,encoding,1.732
104,1,network,264.7907
105,0,encoding,1.7947
105,1,network,264.6816
106,0,encoding,1.7728
106,1,network,264.901
107,0,encoding,1.8071
107,1,network,264.6051
108,0,encoding,1.8265
108,1,network,264.6549
109,0,encoding,1.8166
109,1,network,264.7286
110,0,encoding,1.7745
110,1,network,264.7534
111,0,encoding,1.7549
111,1,network,264.7627
112,0,encoding,1.7673
112,1,network,264.7505
113,0,encoding,1.771
113,1,network,264.7143
114,0,encoding,1.7474
114,1,network,264.8142
115,0,encoding,1.8027
115,1,network,264.7874
116,0,encoding,1.7432
116,1,network,264.7541
117,0,encoding,1.9409
117,1,network,264.462
118,0,encoding,1.8069
118,1,network,264.7024
119,0,encoding,1.7704
119,1,network,264.7282
120,0,encoding,1.8074
120,1,network,264.6983
121,0,encoding,1.811
121,1,network,264.7275
122,0,encoding,1.7773
122,1,network,264.0193
123,0,encoding,0.938
123,1,network,266.4124
124,0,encoding,1.8122
124,1,network,264.6969
125,0,encoding,1.7461
125,1,network,264.7939
126,0,encoding,1.7841
126,1,network,264.7459
127,0,encoding,1.7702
127,1,network,264.8061
128,0,encoding,1.8611
128,1,network,264.633
129,0,encoding,1.7791
129,1,network,264.7326
130,0,encoding,1.6739
130,1,network,264.8628
131,0,encoding,1.7852
131,1,network,264.6198
132,0,encoding,2.0768
132,1,network,264.5104
133,0,encoding,1.7719
133,1,network,264.7242
134,0,encoding,1.7676
134,1,network,264.6653
135,0,encoding,1.7581
135,1,network,264.8585
136,0,encoding,1.7485
136,1,network,264.6817
