device,n_anchors,encoding,n_uspc,data_idx,network_time
ipad,512,EncodeProbeBufferCPUFloat4,1,1018.0,10.654393716249386
ipad,512,EncodeProbeBufferCPUFloat4,2,1018.0,19.304860088365242
ipad,512,EncodeProbeBufferCPUFloat4,4,1018.0,24.27196858124693
ipad,512,EncodeProbeBufferCPUFloat4Striped,1,1018.0,9.848797250859107
ipad,512,EncodeProbeBufferCPUFloat4Striped,2,1018.0,12.51448208149239
ipad,512,EncodeProbeBufferCPUFloat4Striped,4,1018.0,13.464408443789887
ipad,512,EncodeProbeBufferCPUOptimized,1,1018.0,11.04025527736868
ipad,512,EncodeProbeBufferCPUOptimized,2,1018.0,12.409425625920472
ipad,512,EncodeProbeBufferCPUOptimized,4,1018.0,18.852724594992637
ipad,512,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,10.724594992636229
ipad,512,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,12.640648011782032
ipad,512,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,12.59548355424644
ipad,768,EncodeProbeBufferCPUFloat4,1,1018.0,13.861070201276387
ipad,768,EncodeProbeBufferCPUFloat4,2,1018.0,20.1786941580756
ipad,768,EncodeProbeBufferCPUFloat4,4,1018.0,33.160039273441335
ipad,768,EncodeProbeBufferCPUFloat4Striped,1,1018.0,11.446244477172312
ipad,768,EncodeProbeBufferCPUFloat4Striped,2,1018.0,12.876288659793815
ipad,768,EncodeProbeBufferCPUFloat4Striped,4,1018.0,14.193912616593028
ipad,768,EncodeProbeBufferCPUOptimized,1,1018.0,12.646539027982326
ipad,768,EncodeProbeBufferCPUOptimized,2,1018.0,13.155130093274423
ipad,768,EncodeProbeBufferCPUOptimized,4,1018.0,18.98429062346588
ipad,768,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,12.092783505154639
ipad,768,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,11.909671084928817
ipad,768,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,14.808051055473737
ipad,1024,EncodeProbeBufferCPUFloat4,1,1018.0,17.305351006381933
ipad,1024,EncodeProbeBufferCPUFloat4,2,1018.0,22.759941089837998
ipad,1024,EncodeProbeBufferCPUFloat4,4,1018.0,32.744231713303876
ipad,1024,EncodeProbeBufferCPUFloat4Striped,1,1018.0,11.62739322533137
ipad,1024,EncodeProbeBufferCPUFloat4Striped,2,1018.0,13.146784486990672
ipad,1024,EncodeProbeBufferCPUFloat4Striped,4,1018.0,15.062346588119784
ipad,1024,EncodeProbeBufferCPUOptimized,1,1018.0,12.328424153166422
ipad,1024,EncodeProbeBufferCPUOptimized,2,1018.0,16.86156111929308
ipad,1024,EncodeProbeBufferCPUOptimized,4,1018.0,23.883652430044183
ipad,1024,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,12.78497790868925
ipad,1024,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,12.981836033382425
ipad,1024,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,17.469317623956798
ipad,1280,EncodeProbeBufferCPUFloat4,1,1018.0,15.958762886597938
ipad,1280,EncodeProbeBufferCPUFloat4,2,1018.0,18.848306332842416
ipad,1280,EncodeProbeBufferCPUFloat4,4,1018.0,27.030927835051546
