,exp_timestamp,n_points,test_shc_rmse,use_traind10,dataset
0,2021/04/26/00_49_05,2048,0.1153437377652153,True,pointar
1,2021/04/28/02_08_27,1536,0.1155841002473607,True,pointar
2,2021/04/28/03_40_07,2048,0.1150163536076434,True,pointar
3,2021/04/28/13_17_21,2048,0.1158495101844891,True,pointar
4,2021/04/28/00_30_40,1280,0.1152509967796504,True,pointar
5,2021/04/28/06_54_35,1792,0.1155078813899308,True,pointar
6,2021/04/25/12_26_34,1280,0.1150308897485956,True,pointar
8,2021/04/25/15_32_59,2048,0.1151034587528556,True,pointar
9,2021/04/25/12_00_25,1792,0.1154169429792091,True,pointar
10,2021/04/25/09_04_23,1280,0.1155173681909218,True,pointar
11,2021/04/25/14_41_50,2048,0.1151358636561781,True,pointar
12,2021/04/25/06_02_40,1024,0.114817020134069,True,pointar
13,2021/04/25/02_45_59,512,0.1143254918279126,True,pointar
15,2021/04/25/09_15_46,1024,0.1160035145003348,True,pointar
16,2021/04/25/04_25_35,768,0.1145546638872474,True,pointar
19,2021/04/25/04_59_32,512,0.1153246199246496,True,pointar
20,2021/04/25/06_35_27,768,0.1150310026714578,True,pointar
21,2021/04/25/21_37_34,1792,0.1152606579707935,True,pointar
23,2021/04/25/07_58_59,1024,0.1152442612219601,True,pointar
24,2021/04/25/16_20_53,1536,0.11545893503353,True,pointar
25,2021/04/27/23_04_15,1280,0.1146215990884229,True,pointar
27,2021/04/27/21_09_54,1024,0.1160997594706714,True,pointar
28,2021/04/27/19_55_01,768,0.1153634417569264,True,pointar
30,2021/04/27/22_26_56,768,0.1154419163940474,True,pointar
31,2021/04/23/06_54_03,1792,0.115124246221967,True,pointar
32,2021/04/23/00_43_23,768,0.1149719597306102,True,pointar
34,2021/04/23/03_36_05,1536,0.115534326643683,True,pointar
36,2021/04/23/06_57_13,1792,0.1159916897304356,True,pointar
38,2021/04/23/03_38_18,1536,0.1152769807958975,True,pointar
45,2021/04/22/18_06_46,512,0.1151071729836985,True,pointar
46,2021/04/22/22_08_13,1536,0.1161455217516049,True,pointar
47,2021/04/22/21_33_38,1024,0.115057720337063,True,pointar
48,2021/04/22/23_59_51,1280,0.1147081392118707,True,pointar
49,2021/04/22/18_07_21,512,0.1147483739769086,True,pointar
51,2021/04/22/23_04_31,512,0.1149565505329519,True,pointar
0,2021/04/26/23_09_24,768,0.0968233119929209,True,xihe
1,2021/04/26/04_41_50,1280,0.0926664912840351,True,xihe
2,2021/04/26/02_51_14,1024,0.0946253127185627,True,xihe
3,2021/04/26/00_42_36,768,0.0960373101988807,True,xihe
4,2021/04/26/02_02_57,1024,0.09664677886758,True,xihe
5,2021/04/26/15_11_58,1536,0.0950681628892198,True,xihe
6,2021/04/26/15_11_22,1792,0.0951123948907479,True,xihe
7,2021/04/26/00_54_21,768,0.0971158973407,True,xihe
8,2021/04/26/05_21_13,1280,0.0933032273314893,True,xihe
9,2021/04/26/07_26_38,1536,0.092945326003246,True,xihe
10,2021/04/26/22_07_58,512,0.0978868216043338,True,xihe
11,2021/04/26/22_08_34,512,0.0929461196064949,True,xihe
12,2021/04/26/23_10_44,768,0.0933541859267279,True,xihe
13,2021/04/25/23_18_45,512,0.0934107241337187,True,xihe
14,2021/04/25/23_18_50,512,0.0930178352864459,True,xihe
15,2021/04/25/00_42_25,2048,0.0933254463598132,True,xihe
17,2021/04/27/05_33_31,1536,0.0930621299776248,True,xihe
18,2021/04/27/14_25_55,2048,0.0951188578037545,True,xihe
19,2021/04/27/09_49_52,1792,0.0929893725551664,True,xihe
20,2021/04/27/01_40_12,1024,0.0957713667303323,True,xihe
21,2021/04/27/02_56_15,1280,0.0949535259278491,True,xihe
22,2021/04/27/08_29_39,1536,0.0938262202544137,True,xihe
23,2021/04/27/13_39_03,2048,0.0938515279558487,True,xihe
25,2021/04/27/01_20_58,1024,0.0958824375411495,True,xihe
26,2021/04/21/21_55_44,768,0.0924040183890611,True,xihe
27,2021/04/21/23_54_23,1024,0.097336946404539,True,xihe
29,2021/04/21/17_46_51,512,0.0935984578682109,True,xihe
35,2021/04/24/19_31_15,1792,0.0939525268040597,True,xihe
40,2021/04/24/16_12_03,1536,0.093914361204952,True,xihe
41,2021/04/24/22_57_49,2048,0.0954897082992829,True,xihe
48,2021/04/24/23_06_21,1792,0.095588450320065,True,xihe
49,2021/04/24/14_06_18,1280,0.0941170743899419,True,xihe
51,2021/04/24/14_13_32,1280,0.0954115119529888,True,xihe
52,2021/04/22/14_06_17,2048,0.0941882041515782,True,xihe
58,2021/04/22/05_58_03,1792,0.0935515046585351,True,xihe
0,2021/04/28/20_49_44,768,0.1166958069661632,True,xihe_fps
2,2021/04/28/19_39_11,512,0.1160958263790234,True,xihe_fps
3,2021/04/28/23_34_57,1280,0.1159891850547865,True,xihe_fps
4,2021/04/29/21_13_22,512,0.1156390373362228,True,xihe_fps
5,2021/04/29/22_47_50,768,0.1150471717119216,True,xihe_fps
6,2021/04/29/13_03_01,1024,0.1169445891864597,True,xihe_fps
7,2021/04/29/10_51_26,768,0.115750536089763,True,xihe_fps
8,2021/04/29/16_19_44,1280,0.1158082478214055,True,xihe_fps
9,2021/04/29/10_05_25,512,0.1154790924629196,True,xihe_fps
10,2021/04/29/15_12_13,2048,0.1154777080519124,True,xihe_fps
11,2021/04/29/20_54_06,768,0.1156116998754441,True,xihe_fps
12,2021/04/29/03_12_40,1536,0.1159662230638787,True,xihe_fps
13,2021/04/29/10_04_39,1792,0.1155828972696326,True,xihe_fps
14,2021/04/29/19_40_53,512,0.1154146592598408,True,xihe_fps
15,2021/04/29/20_31_57,1536,0.1155607656110078,True,xihe_fps
