,idx,diff,metric_name,decision
0,1,5.6895213,psnr,1
1,2,5.447575,psnr,1
2,7,6.0188894,psnr,1
3,13,5.9090323,psnr,1
4,24,7.0388155,psnr,1
5,62,7.9241443,psnr,1
6,116,7.164774,psnr,1
7,165,7.7464266,psnr,1
8,213,3.648742,psnr,1
9,215,5.1560884,psnr,1
10,220,4.6535635,psnr,1
11,230,7.4387097,psnr,1
12,231,7.558695,psnr,1
13,235,4.7427707,psnr,1
14,236,5.430981,psnr,1
15,242,7.233954,psnr,1
16,245,7.1768126,psnr,1
17,247,4.111334,psnr,1
18,248,3.709554,psnr,1
19,251,3.1780605,psnr,1
20,252,2.6739001,psnr,1
21,255,6.9706616,psnr,1
22,256,4.2827983,psnr,1
23,257,4.5134063,psnr,1
24,261,7.623574,psnr,1
25,283,5.734908,psnr,1
26,294,7.3380055,psnr,1
27,295,5.109036,psnr,1
28,302,6.606043,psnr,1
29,305,7.506832,psnr,1
30,306,4.1861167,psnr,1
31,324,6.4026117,psnr,1
32,326,4.785986,psnr,1
33,329,7.3090196,psnr,1
34,330,7.190742,psnr,1
35,337,6.60803,psnr,1
36,338,6.4823914,psnr,1
37,345,6.676911,psnr,1
38,347,5.8604493,psnr,1
39,351,7.845684,psnr,1
40,387,6.8961697,psnr,1
41,394,6.4166903,psnr,1
42,401,7.5313663,psnr,1
43,436,8.025426,psnr,1
44,437,7.089336,psnr,1
45,438,7.909355,psnr,1
46,458,5.121102,psnr,1
47,459,6.3797736,psnr,1
48,460,7.5113807,psnr,1
49,471,6.663945,psnr,1
50,522,7.6633277,psnr,1
51,526,7.55728,psnr,1
52,569,6.9805093,psnr,1
53,580,2.8781734,psnr,1
54,582,3.041253,psnr,1
55,588,7.288786,psnr,1
56,590,5.9266267,psnr,1
57,593,7.916986,psnr,1
58,594,7.2834167,psnr,1
59,602,7.7928934,psnr,1
60,603,5.646454,psnr,1
61,628,7.1072946,psnr,1
62,629,2.7252052,psnr,1
63,756,7.867872,psnr,1
64,762,7.435207,psnr,1
65,764,4.8552046,psnr,1
