,idx,diff,metric_name,decision
0,0,8.090691,psnr,1
1,1,5.689579,psnr,1
2,2,5.4476266,psnr,1
3,7,6.01891,psnr,1
4,8,8.528535,psnr,1
5,9,8.921371,psnr,1
6,13,5.9090734,psnr,1
7,24,7.038945,psnr,1
8,32,8.244754,psnr,1
9,55,9.367193,psnr,1
10,62,7.9242096,psnr,1
11,72,9.24304,psnr,1
12,85,8.328741,psnr,1
13,87,8.754101,psnr,1
14,116,7.1647806,psnr,1
15,131,8.298278,psnr,1
16,132,8.754377,psnr,1
17,157,8.935129,psnr,1
18,158,8.782731,psnr,1
19,163,8.970362,psnr,1
20,164,8.529525,psnr,1
21,165,7.746426,psnr,1
22,176,9.115138,psnr,1
23,200,8.48695,psnr,1
24,213,3.6487396,psnr,1
25,214,8.8602295,psnr,1
26,215,5.1560493,psnr,1
27,220,4.65356,psnr,1
28,230,7.438668,psnr,1
29,231,7.5586023,psnr,1
30,234,8.63088,psnr,1
31,235,4.7428193,psnr,1
32,236,5.4310474,psnr,1
33,242,7.233983,psnr,1
34,245,7.176938,psnr,1
35,247,4.1113715,psnr,1
36,248,3.7096157,psnr,1
37,251,3.1780677,psnr,1
38,252,2.6739311,psnr,1
39,255,6.9707627,psnr,1
40,256,4.282762,psnr,1
41,257,4.5133924,psnr,1
42,261,7.6235695,psnr,1
43,283,5.734915,psnr,1
44,288,9.001226,psnr,1
45,294,7.3380103,psnr,1
46,295,5.1090364,psnr,1
47,299,8.259721,psnr,1
48,302,6.6060343,psnr,1
49,305,7.5068583,psnr,1
50,306,4.1861377,psnr,1
51,324,6.4026327,psnr,1
52,326,4.7859607,psnr,1
53,329,7.309134,psnr,1
54,330,7.1908274,psnr,1
55,337,6.608041,psnr,1
56,338,6.482454,psnr,1
57,342,8.713504,psnr,1
58,345,6.676906,psnr,1
59,347,5.8605275,psnr,1
60,349,8.997427,psnr,1
61,351,7.8456507,psnr,1
62,362,8.165793,psnr,1
63,363,8.529198,psnr,1
64,366,8.297292,psnr,1
65,367,9.06052,psnr,1
66,375,8.564528,psnr,1
67,379,8.39029,psnr,1
68,387,6.8962097,psnr,1
69,394,6.4167395,psnr,1
70,401,7.531343,psnr,1
71,407,9.140323,psnr,1
72,425,8.062707,psnr,1
73,436,8.025483,psnr,1
74,437,7.089318,psnr,1
75,438,7.9093876,psnr,1
76,444,8.441158,psnr,1
77,445,9.066857,psnr,1
78,458,5.1211004,psnr,1
79,459,6.3798375,psnr,1
80,460,7.511436,psnr,1
81,471,6.6639853,psnr,1
82,516,8.881241,psnr,1
83,518,8.819431,psnr,1
84,522,7.663361,psnr,1
85,523,8.979613,psnr,1
86,526,7.5573387,psnr,1
87,568,8.683737,psnr,1
88,569,6.9805627,psnr,1
89,577,8.427116,psnr,1
90,578,8.048093,psnr,1
91,580,2.878213,psnr,1
92,582,3.041287,psnr,1
93,583,8.963866,psnr,1
94,586,9.3603115,psnr,1
95,588,7.2889194,psnr,1
96,590,5.9267564,psnr,1
97,593,7.917135,psnr,1
98,594,7.2834563,psnr,1
99,602,7.792996,psnr,1
100,603,5.6465,psnr,1
101,608,8.068006,psnr,1
102,610,8.459719,psnr,1
103,612,8.211365,psnr,1
104,628,7.107306,psnr,1
105,629,2.7252164,psnr,1
106,630,8.163671,psnr,1
107,647,8.526699,psnr,1
108,652,8.12372,psnr,1
109,713,9.06093,psnr,1
110,755,8.814798,psnr,1
111,756,7.8679514,psnr,1
112,762,7.435267,psnr,1
113,764,4.8552375,psnr,1
114,765,8.564057,psnr,1
115,766,8.426727,psnr,1
116,768,5.6620893,psnr,1
117,770,7.2352886,psnr,1
118,773,4.8981333,psnr,1
119,774,8.146616,psnr,1
120,787,8.358159,psnr,1
121,802,8.844097,psnr,1
122,860,9.275049,psnr,1
123,21,25.826189,psnr,0
124,45,25.479273,psnr,0
125,51,25.452463,psnr,0
126,77,23.485527,psnr,0
127,78,28.160961,psnr,0
128,81,24.84422,psnr,0
129,93,23.712597,psnr,0
