,dataset,theta,metric,method,accuracy
0,0,0.0,shc_mse,image,0.5
1,0,0.0,shc_mse,sphere,0.5
2,0,0.0,shc_mse,xihe,0.5
3,0,0.0,shc_mse,entropy,0.5
4,0,0.01,shc_mse,image,0.5
5,0,0.01,shc_mse,sphere,0.5
6,0,0.01,shc_mse,xihe,0.5
7,0,0.01,shc_mse,entropy,0.5
8,0,0.02,shc_mse,image,0.5
9,0,0.02,shc_mse,sphere,0.5
10,0,0.02,shc_mse,xihe,0.5
11,0,0.02,shc_mse,entropy,0.5
12,0,0.03,shc_mse,image,0.5
13,0,0.03,shc_mse,sphere,0.5555555555555556
14,0,0.03,shc_mse,xihe,0.5
15,0,0.03,shc_mse,entropy,0.5
16,0,0.04,shc_mse,image,0.5
17,0,0.04,shc_mse,sphere,0.6666666666666666
18,0,0.04,shc_mse,xihe,0.5
19,0,0.04,shc_mse,entropy,0.5
20,0,0.05,shc_mse,image,0.5
21,0,0.05,shc_mse,sphere,0.7222222222222222
22,0,0.05,shc_mse,xihe,0.5
23,0,0.05,shc_mse,entropy,0.5
24,0,0.06,shc_mse,image,0.5
25,0,0.06,shc_mse,sphere,0.7777777777777778
26,0,0.06,shc_mse,xihe,0.5
27,0,0.06,shc_mse,entropy,0.5
28,0,0.07,shc_mse,image,0.5
29,0,0.07,shc_mse,sphere,0.8333333333333334
30,0,0.07,shc_mse,xihe,0.5
31,0,0.07,shc_mse,entropy,0.5
32,0,0.08,shc_mse,image,0.5
33,0,0.08,shc_mse,sphere,0.9444444444444444
34,0,0.08,shc_mse,xihe,0.5
35,0,0.08,shc_mse,entropy,0.5
36,0,0.09,shc_mse,image,0.5
37,0,0.09,shc_mse,sphere,0.9444444444444444
38,0,0.09,shc_mse,xihe,0.5
39,0,0.09,shc_mse,entropy,0.5
40,0,0.1,shc_mse,image,0.5
41,0,0.1,shc_mse,sphere,0.9444444444444444
42,0,0.1,shc_mse,xihe,0.5
43,0,0.1,shc_mse,entropy,0.5
44,0,0.11,shc_mse,image,0.5
45,0,0.11,shc_mse,sphere,0.9444444444444444
46,0,0.11,shc_mse,xihe,0.5
47,0,0.11,shc_mse,entropy,0.5
48,0,0.12,shc_mse,image,0.5
49,0,0.12,shc_mse,sphere,0.9444444444444444
50,0,0.12,shc_mse,xihe,0.5
51,0,0.12,shc_mse,entropy,0.5
52,0,0.13,shc_mse,image,0.5
53,0,0.13,shc_mse,sphere,0.9444444444444444
54,0,0.13,shc_mse,xihe,0.5
55,0,0.13,shc_mse,entropy,0.5
56,0,0.14,shc_mse,image,0.5
57,0,0.14,shc_mse,sphere,0.9444444444444444
58,0,0.14,shc_mse,xihe,0.5
59,0,0.14,shc_mse,entropy,0.5
60,0,0.15,shc_mse,image,0.5
61,0,0.15,shc_mse,sphere,0.9444444444444444
62,0,0.15,shc_mse,xihe,0.5
63,0,0.15,shc_mse,entropy,0.5
64,0,0.16,shc_mse,image,0.5
65,0,0.16,shc_mse,sphere,0.8888888888888888
66,0,0.16,shc_mse,xihe,0.5
67,0,0.16,shc_mse,entropy,0.5
68,0,0.17,shc_mse,image,0.5
69,0,0.17,shc_mse,sphere,0.8888888888888888
70,0,0.17,shc_mse,xihe,0.5
71,0,0.17,shc_mse,entropy,0.5
72,0,0.18,shc_mse,image,0.5
73,0,0.18,shc_mse,sphere,0.8333333333333334
74,0,0.18,shc_mse,xihe,0.5
75,0,0.18,shc_mse,entropy,0.5
76,0,0.19,shc_mse,image,0.5
77,0,0.19,shc_mse,sphere,0.8333333333333334
78,0,0.19,shc_mse,xihe,0.5
79,0,0.19,shc_mse,entropy,0.5
80,0,0.2,shc_mse,image,0.5
81,0,0.2,shc_mse,sphere,0.8333333333333334
82,0,0.2,shc_mse,xihe,0.5
83,0,0.2,shc_mse,entropy,0.5
84,0,0.21,shc_mse,image,0.5
85,0,0.21,shc_mse,sphere,0.7777777777777778
86,0,0.21,shc_mse,xihe,0.5
87,0,0.21,shc_mse,entropy,0.5
88,0,0.22,shc_mse,image,0.5
89,0,0.22,shc_mse,sphere,0.7777777777777778
90,0,0.22,shc_mse,xihe,0.5
91,0,0.22,shc_mse,entropy,0.5
92,0,0.23,shc_mse,image,0.5
93,0,0.23,shc_mse,sphere,0.7222222222222222
94,0,0.23,shc_mse,xihe,0.5
95,0,0.23,shc_mse,entropy,0.5
96,0,0.24,shc_mse,image,0.5
97,0,0.24,shc_mse,sphere,0.6111111111111112
98,0,0.24,shc_mse,xihe,0.5
99,0,0.24,shc_mse,entropy,0.5
100,0,0.25,shc_mse,image,0.5
101,0,0.25,shc_mse,sphere,0.6111111111111112
102,0,0.25,shc_mse,xihe,0.5
103,0,0.25,shc_mse,entropy,0.5
104,0,0.26,shc_mse,image,0.5
105,0,0.26,shc_mse,sphere,0.5555555555555556
106,0,0.26,shc_mse,xihe,0.5
107,0,0.26,shc_mse,entropy,0.5
108,0,0.27,shc_mse,image,0.5
109,0,0.27,shc_mse,sphere,0.5555555555555556
110,0,0.27,shc_mse,xihe,0.5
111,0,0.27,shc_mse,entropy,0.5
112,0,0.28,shc_mse,image,0.5
113,0,0.28,shc_mse,sphere,0.5555555555555556
114,0,0.28,shc_mse,xihe,0.5
115,0,0.28,shc_mse,entropy,0.5
116,0,0.29,shc_mse,image,0.5
117,0,0.29,shc_mse,sphere,0.5555555555555556
118,0,0.29,shc_mse,xihe,0.5555555555555556
119,0,0.29,shc_mse,entropy,0.5
120,0,0.3,shc_mse,image,0.5
121,0,0.3,shc_mse,sphere,0.5
122,0,0.3,shc_mse,xihe,0.5555555555555556
123,0,0.3,shc_mse,entropy,0.5
124,0,0.31,shc_mse,image,0.5
125,0,0.31,shc_mse,sphere,0.5
126,0,0.31,shc_mse,xihe,0.6111111111111112
127,0,0.31,shc_mse,entropy,0.5555555555555556
128,0,0.32,shc_mse,image,0.5
129,0,0.32,shc_mse,sphere,0.5
130,0,0.32,shc_mse,xihe,0.6111111111111112
131,0,0.32,shc_mse,entropy,0.6111111111111112
132,0,0.33,shc_mse,image,0.5
133,0,0.33,shc_mse,sphere,0.5
134,0,0.33,shc_mse,xihe,0.7222222222222222
135,0,0.33,shc_mse,entropy,0.6111111111111112
136,0,0.34,shc_mse,image,0.5
137,0,0.34,shc_mse,sphere,0.5
138,0,0.34,shc_mse,xihe,0.7777777777777778
139,0,0.34,shc_mse,entropy,0.6111111111111112
140,0,0.35,shc_mse,image,0.5
141,0,0.35,shc_mse,sphere,0.5
142,0,0.35,shc_mse,xihe,0.8333333333333334
143,0,0.35,shc_mse,entropy,0.6111111111111112
144,0,0.36,shc_mse,image,0.5
145,0,0.36,shc_mse,sphere,0.5
146,0,0.36,shc_mse,xihe,0.8333333333333334
147,0,0.36,shc_mse,entropy,0.6111111111111112
148,0,0.37,shc_mse,image,0.5
149,0,0.37,shc_mse,sphere,0.5
150,0,0.37,shc_mse,xihe,0.8333333333333334
151,0,0.37,shc_mse,entropy,0.6111111111111112
152,0,0.38,shc_mse,image,0.5
153,0,0.38,shc_mse,sphere,0.5
154,0,0.38,shc_mse,xihe,0.8333333333333334
155,0,0.38,shc_mse,entropy,0.6111111111111112
156,0,0.39,shc_mse,image,0.5
157,0,0.39,shc_mse,sphere,0.5
158,0,0.39,shc_mse,xihe,0.8888888888888888
159,0,0.39,shc_mse,entropy,0.6111111111111112
160,0,0.4,shc_mse,image,0.5
161,0,0.4,shc_mse,sphere,0.5
162,0,0.4,shc_mse,xihe,0.8888888888888888
163,0,0.4,shc_mse,entropy,0.6111111111111112
164,0,0.41,shc_mse,image,0.5
165,0,0.41,shc_mse,sphere,0.5
166,0,0.41,shc_mse,xihe,0.9444444444444444
167,0,0.41,shc_mse,entropy,0.6666666666666666
168,0,0.42,shc_mse,image,0.5
169,0,0.42,shc_mse,sphere,0.5
170,0,0.42,shc_mse,xihe,0.9444444444444444
171,0,0.42,shc_mse,entropy,0.6666666666666666
172,0,0.43,shc_mse,image,0.5
173,0,0.43,shc_mse,sphere,0.5
174,0,0.43,shc_mse,xihe,0.9444444444444444
175,0,0.43,shc_mse,entropy,0.7222222222222222
176,0,0.44,shc_mse,image,0.5
177,0,0.44,shc_mse,sphere,0.5
178,0,0.44,shc_mse,xihe,0.9444444444444444
179,0,0.44,shc_mse,entropy,0.7222222222222222
180,0,0.45,shc_mse,image,0.5
181,0,0.45,shc_mse,sphere,0.5
182,0,0.45,shc_mse,xihe,0.9444444444444444
183,0,0.45,shc_mse,entropy,0.7222222222222222
184,0,0.46,shc_mse,image,0.5
185,0,0.46,shc_mse,sphere,0.5
186,0,0.46,shc_mse,xihe,0.9444444444444444
187,0,0.46,shc_mse,entropy,0.7222222222222222
188,0,0.47,shc_mse,image,0.5
189,0,0.47,shc_mse,sphere,0.5
190,0,0.47,shc_mse,xihe,0.9444444444444444
191,0,0.47,shc_mse,entropy,0.7222222222222222
192,0,0.48,shc_mse,image,0.5
193,0,0.48,shc_mse,sphere,0.5
194,0,0.48,shc_mse,xihe,0.9444444444444444
195,0,0.48,shc_mse,entropy,0.7777777777777778
196,0,0.49,shc_mse,image,0.5
197,0,0.49,shc_mse,sphere,0.5
198,0,0.49,shc_mse,xihe,0.9444444444444444
199,0,0.49,shc_mse,entropy,0.7777777777777778
200,0,0.5,shc_mse,image,0.5
201,0,0.5,shc_mse,sphere,0.5
202,0,0.5,shc_mse,xihe,0.9444444444444444
203,0,0.5,shc_mse,entropy,0.7777777777777778
204,0,0.51,shc_mse,image,0.5
205,0,0.51,shc_mse,sphere,0.5
206,0,0.51,shc_mse,xihe,0.9444444444444444
207,0,0.51,shc_mse,entropy,0.7777777777777778
208,0,0.52,shc_mse,image,0.5
209,0,0.52,shc_mse,sphere,0.5
210,0,0.52,shc_mse,xihe,0.9444444444444444
211,0,0.52,shc_mse,entropy,0.8333333333333334
212,0,0.53,shc_mse,image,0.5
213,0,0.53,shc_mse,sphere,0.5
214,0,0.53,shc_mse,xihe,0.9444444444444444
215,0,0.53,shc_mse,entropy,0.8333333333333334
216,0,0.54,shc_mse,image,0.5
217,0,0.54,shc_mse,sphere,0.5
218,0,0.54,shc_mse,xihe,0.9444444444444444
219,0,0.54,shc_mse,entropy,0.8333333333333334
220,0,0.55,shc_mse,image,0.5
221,0,0.55,shc_mse,sphere,0.5
222,0,0.55,shc_mse,xihe,0.9444444444444444
223,0,0.55,shc_mse,entropy,0.8333333333333334
224,0,0.56,shc_mse,image,0.5
225,0,0.56,shc_mse,sphere,0.5
226,0,0.56,shc_mse,xihe,0.9444444444444444
227,0,0.56,shc_mse,entropy,0.7777777777777778
228,0,0.57,shc_mse,image,0.5
229,0,0.57,shc_mse,sphere,0.5
230,0,0.57,shc_mse,xihe,0.9444444444444444
231,0,0.57,shc_mse,entropy,0.8333333333333334
232,0,0.58,shc_mse,image,0.5
233,0,0.58,shc_mse,sphere,0.5
234,0,0.58,shc_mse,xihe,0.9444444444444444
235,0,0.58,shc_mse,entropy,0.8333333333333334
236,0,0.59,shc_mse,image,0.5
237,0,0.59,shc_mse,sphere,0.5
238,0,0.59,shc_mse,xihe,0.9444444444444444
239,0,0.59,shc_mse,entropy,0.8333333333333334
240,0,0.6,shc_mse,image,0.5
241,0,0.6,shc_mse,sphere,0.5
242,0,0.6,shc_mse,xihe,0.9444444444444444
243,0,0.6,shc_mse,entropy,0.8333333333333334
244,0,0.61,shc_mse,image,0.5
245,0,0.61,shc_mse,sphere,0.5
246,0,0.61,shc_mse,xihe,0.8888888888888888
247,0,0.61,shc_mse,entropy,0.8333333333333334
248,0,0.62,shc_mse,image,0.5
249,0,0.62,shc_mse,sphere,0.5
250,0,0.62,shc_mse,xihe,0.8888888888888888
251,0,0.62,shc_mse,entropy,0.8333333333333334
252,0,0.63,shc_mse,image,0.5
253,0,0.63,shc_mse,sphere,0.5
254,0,0.63,shc_mse,xihe,0.8888888888888888
255,0,0.63,shc_mse,entropy,0.8333333333333334
256,0,0.64,shc_mse,image,0.5
257,0,0.64,shc_mse,sphere,0.5
258,0,0.64,shc_mse,xihe,0.8888888888888888
259,0,0.64,shc_mse,entropy,0.8888888888888888
260,0,0.65,shc_mse,image,0.5
261,0,0.65,shc_mse,sphere,0.5
262,0,0.65,shc_mse,xihe,0.8888888888888888
263,0,0.65,shc_mse,entropy,0.8888888888888888
264,0,0.66,shc_mse,image,0.5
265,0,0.66,shc_mse,sphere,0.5
266,0,0.66,shc_mse,xihe,0.8888888888888888
267,0,0.66,shc_mse,entropy,0.8888888888888888
268,0,0.67,shc_mse,image,0.5
269,0,0.67,shc_mse,sphere,0.5
270,0,0.67,shc_mse,xihe,0.8333333333333334
271,0,0.67,shc_mse,entropy,0.8888888888888888
272,0,0.68,shc_mse,image,0.5
273,0,0.68,shc_mse,sphere,0.5
274,0,0.68,shc_mse,xihe,0.8333333333333334
275,0,0.68,shc_mse,entropy,0.8888888888888888
276,0,0.69,shc_mse,image,0.5
277,0,0.69,shc_mse,sphere,0.5
278,0,0.69,shc_mse,xihe,0.8333333333333334
279,0,0.69,shc_mse,entropy,0.8888888888888888
280,0,0.7,shc_mse,image,0.5
281,0,0.7,shc_mse,sphere,0.5
282,0,0.7,shc_mse,xihe,0.8333333333333334
283,0,0.7,shc_mse,entropy,0.8888888888888888
284,0,0.71,shc_mse,image,0.5
285,0,0.71,shc_mse,sphere,0.5
286,0,0.71,shc_mse,xihe,0.8333333333333334
287,0,0.71,shc_mse,entropy,0.8888888888888888
288,0,0.72,shc_mse,image,0.5
