,data_idx,trigger_method,value
0,0,image,0.0
1,0,xihe_1,0.18437092006206512
2,0,xihe_4,0.6846662163734436
3,0,xihe_9,0.5580691695213318
4,0,xihe_16,0.5039510726928711
5,1,image,0.0
6,1,xihe_1,0.16483072936534882
7,1,xihe_4,0.7521646022796631
8,1,xihe_9,0.7224822640419006
9,1,xihe_16,0.6876054406166077
10,2,image,0.0
11,2,xihe_1,0.1921582967042923
12,2,xihe_4,0.7521646022796631
13,2,xihe_9,0.7224822640419006
14,2,xihe_16,0.6876054406166077
15,3,image,0.0
16,3,xihe_1,0.10716450214385986
17,3,xihe_4,0.5942919850349426
18,3,xihe_9,0.4897722601890564
19,3,xihe_16,0.4936044216156006
20,4,image,0.0
21,4,xihe_1,0.08346144109964371
22,4,xihe_4,0.5128476023674011
23,4,xihe_9,0.40082475543022156
24,4,xihe_16,0.342163622379303
25,5,image,0.0
26,5,xihe_1,0.04973684623837471
27,5,xihe_4,0.5311251878738403
28,5,xihe_9,0.35903966426849365
29,5,xihe_16,0.3467804491519928
30,6,image,0.0
31,6,xihe_1,0.08979232609272003
32,6,xihe_4,0.8629360795021057
33,6,xihe_9,0.8238643407821655
34,6,xihe_16,0.699485182762146
35,7,image,0.0
36,7,xihe_1,0.1268528401851654
37,7,xihe_4,0.8508663177490234
38,7,xihe_9,0.6584413647651672
39,7,xihe_16,0.5439449548721313
40,8,image,0.0
41,8,xihe_1,0.09223994612693787
42,8,xihe_4,0.8581392168998718
43,8,xihe_9,0.8322269320487976
44,8,xihe_16,0.7016740441322327
45,9,image,0.0
46,9,xihe_1,0.0
47,9,xihe_4,0.0
48,9,xihe_9,0.0
49,9,xihe_16,0.0
50,10,image,0.0
51,10,xihe_1,0.08824953436851501
52,10,xihe_4,0.5727553367614746
53,10,xihe_9,0.40536201000213623
54,10,xihe_16,0.3207205533981323
55,11,image,0.0
56,11,xihe_1,0.08523429185152054
57,11,xihe_4,0.6367320418357849
58,11,xihe_9,0.47413957118988037
59,11,xihe_16,0.40527138113975525
60,12,image,0.0
61,12,xihe_1,0.0554828867316246
62,12,xihe_4,0.4276227653026581
63,12,xihe_9,0.40473610162734985
64,12,xihe_16,0.3929322361946106
65,13,image,0.0
66,13,xihe_1,0.13875366747379303
