,anchors,grid_height,accuracy
0,512.0,256.0,0.966994
1,512.0,512.0,0.983532
2,512.0,768.0,0.988926
3,512.0,1024.0,0.991827
4,768.0,256.0,0.959583
5,768.0,512.0,0.97986
6,768.0,768.0,0.986715
7,768.0,1024.0,0.989965
8,1024.0,256.0,0.953953
9,1024.0,512.0,0.976809
10,1024.0,768.0,0.984688
11,1024.0,1024.0,0.988377
12,1280.0,256.0,0.947683
13,1280.0,512.0,0.974152
14,1280.0,768.0,0.982824
15,1280.0,1024.0,0.98694
16,1536.0,256.0,0.942623
17,1536.0,512.0,0.971524
18,1536.0,768.0,0.980704
19,1536.0,1024.0,0.985798
20,1792.0,256.0,0.93875
21,1792.0,512.0,0.969355
22,1792.0,768.0,0.97942
23,1792.0,1024.0,0.984417
24,2048.0,256.0,0.934976
25,2048.0,512.0,0.967024
26,2048.0,768.0,0.977993
27,2048.0,1024.0,0.983845
